symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data,required_lookback_ready_for_2024_01_01,status,reason
A1CAP,2023-06-15,2026-05-08,202,1,1,1,1,ok,
A1YEN,2021-07-16,2026-05-08,326,1,1,1,1,ok,
AAGYO,2026-04-09,2026-05-08,20,0,0,1,0,ok,
ACSEL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ADEL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ADESE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ADGYO,2023-09-20,2026-05-08,182,1,1,1,1,ok,
AEFES,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AFYON,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AGESA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AGHOL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AGROT,2023-11-23,2026-05-08,305,1,1,1,1,ok,
AGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AHGAZ,2022-12-22,2026-05-08,238,1,1,1,1,ok,
AHSGY,2024-08-29,2026-05-08,118,1,1,1,0,ok,
AKBNK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKCNS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKENR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKFGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKFIS,2025-01-23,2026-05-08,70,0,1,1,0,ok,
AKFYE,2023-03-16,2026-05-08,188,1,1,1,1,ok,
AKGRT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKHAN,2026-02-06,2026-05-08,9,0,0,1,0,ok,
AKMGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSUE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKYHO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALARK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALBRK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALCAR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALCTL,2021-01-06,2026-05-08,338,1,1,1,1,ok,
ALFAS,2022-11-16,2026-05-08,227,1,1,1,1,ok,
ALGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALKA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALKIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALKLC,2024-06-04,2026-05-08,124,1,1,1,0,ok,
ALTNY,2024-05-16,2026-05-08,58,1,1,1,0,ok,
ALVES,2024-02-29,2026-05-08,136,1,1,1,0,ok,
ANELE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ANGEN,2021-10-21,2026-05-08,269,1,1,1,1,ok,
ANHYT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ANSGR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARASE,2021-11-11,2026-05-08,289,1,1,1,1,ok,
ARCLK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARDYZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARENA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARFYE,2026-01-05,2026-05-08,20,0,0,1,0,ok,
ARMGD,2025-01-03,2026-05-08,82,0,1,1,0,ok,
ARSAN,2021-01-06,2026-05-08,336,1,1,1,1,ok,
ARTMS,2024-03-04,2026-05-08,142,1,1,1,0,ok,
ARZUM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ASELS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ASGYO,2023-08-03,2026-05-08,163,1,1,1,1,ok,
ASTOR,2023-01-18,2026-05-08,230,1,1,1,1,ok,
ASUZU,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ATAGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ATAKP,2023-07-27,2026-05-08,186,1,1,1,1,ok,
ATATP,2021-06-04,2026-05-08,326,1,1,1,1,ok,
ATATR,2026-02-19,2026-05-08,11,0,0,1,0,ok,
AVGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AVHOL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AVOD,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AVPGY,2023-12-21,2026-05-08,293,1,1,1,1,ok,
AVTUR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AYCES,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AYDEM,2021-04-29,2026-05-08,308,1,1,1,1,ok,
AYEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AYGAZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AZTEK,2022-08-17,2026-05-08,248,1,1,1,1,ok,
BAGFS,2021-01-06,2026-05-08,351,1,1,1,1,ok,
BAHKM,2024-08-13,2026-05-08,111,1,1,1,0,ok,
BAKAB,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BALSU,2025-02-20,2026-05-08,90,0,1,1,0,ok,
BANVT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BARMA,2022-08-10,2026-05-08,222,1,1,1,1,ok,
BASGZ,2021-06-11,2026-05-08,293,1,1,1,1,ok,
BAYRK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BEGYO,2023-12-08,2026-05-08,149,1,1,1,1,ok,
BERA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BESLR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BESTE,2026-02-11,2026-05-08,5,0,0,1,0,ok,
BEYAZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BFREN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BIENY,2023-05-18,2026-05-08,172,1,1,1,1,ok,
BIGCH,2023-05-10,2026-05-08,186,1,1,1,1,ok,
BIGEN,2025-02-05,2026-05-08,78,0,1,1,0,ok,
BIGTK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BIMAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BINBN,2024-10-09,2026-05-08,113,1,1,1,0,ok,
BINHO,2023-11-20,2026-05-08,166,1,1,1,1,ok,
BIOEN,2021-04-28,2026-05-08,282,1,1,1,1,ok,
BIZIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BJKAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BLCYT,2021-01-06,2026-05-08,338,1,1,1,1,ok,
BLUME,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BMSCH,2021-06-08,2026-05-08,319,1,1,1,1,ok,
BMSTL,2022-04-27,2026-05-08,252,1,1,1,1,ok,
BNTAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BOBET,2021-06-03,2026-05-08,315,1,1,1,1,ok,
BORLS,2023-10-19,2026-05-08,155,1,1,1,1,ok,
BORSK,2024-02-15,2026-05-08,149,1,1,1,0,ok,
BOSSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRISA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRKSN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRKVY,2022-12-15,2026-05-08,232,1,1,1,1,ok,
BRLSM,2021-08-20,2026-05-08,282,1,1,1,1,ok,
BRSAN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BRYAT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BSOKE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BTCIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BUCIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BULGS,2025-02-21,2026-05-08,72,0,1,1,0,ok,
BURCE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BURVA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BVSAN,2023-02-06,2026-05-08,226,1,1,1,1,ok,
BYDNR,2023-08-21,2026-05-08,204,1,1,1,1,ok,
CANTE,2021-04-30,2026-05-08,309,1,1,1,1,ok,
CATES,2023-12-07,2026-05-08,173,1,1,1,1,ok,
CCOLA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CELHA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CEMAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CEMTS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CEMZY,2024-09-09,2026-05-08,111,1,1,1,0,ok,
CEOEM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CGCAM,2024-12-17,2026-05-08,93,1,1,1,0,ok,
CIMSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CLEBI,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CMBTN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CONSE,2022-04-20,2026-05-08,247,1,1,1,1,ok,
COSMO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CRDFA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CRFSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CUSAN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
CVKMD,2023-04-13,2026-05-08,188,1,1,1,1,ok,
CWENE,2023-05-05,2026-05-08,181,1,1,1,1,ok,
DAGI,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DAPGM,2022-02-24,2026-05-08,288,1,1,1,1,ok,
DARDL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DCTTR,2024-07-31,2026-05-08,105,1,1,1,0,ok,
DENGE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DERHL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DERIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DESA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DESPC,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DEVA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DGATE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DGGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DGNMO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
DITAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DMRGD,2023-09-29,2026-05-08,158,1,1,1,1,ok,
DMSAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DNISI,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DOAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DOCO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DOFER,2023-10-16,2026-05-08,174,1,1,1,1,ok,
DOFRB,2025-09-11,2026-05-08,81,0,1,1,0,ok,
DOGUB,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DOHOL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DOKTA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DSTKF,2025-02-06,2026-05-08,153,0,1,1,0,ok,
DUNYH,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DURDO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DURKN,2024-09-17,2026-05-08,115,1,1,1,0,ok,
DYOBY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
DZGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EBEBK,2023-09-07,2026-05-08,184,1,1,1,1,ok,
ECILC,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ECOGR,2025-11-03,2026-05-08,51,0,1,1,0,ok,
ECZYT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EDATA,2021-07-05,2026-05-08,316,1,1,1,1,ok,
EDIP,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EFOR,2024-07-05,2026-05-08,112,1,1,1,0,ok,
EGEEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EGEGY,2025-01-14,2026-05-08,85,0,1,1,0,ok,
EGEPO,2021-09-01,2026-05-08,276,1,1,1,1,ok,
EGGUB,2021-01-06,2026-05-08,698,1,1,1,1,ok,
EGPRO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EGSER,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EKGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EKOS,2023-11-21,2026-05-08,166,1,1,1,1,ok,
EKSUN,2023-03-24,2026-05-08,210,1,1,1,1,ok,
ELITE,2021-11-15,2026-05-08,296,1,1,1,1,ok,
EMKEL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EMPAE,2026-02-26,2026-05-08,9,0,0,1,0,ok,
ENDAE,2025-02-13,2026-05-08,141,0,1,1,0,ok,
ENERY,2023-08-23,2026-05-08,193,1,1,1,1,ok,
ENJSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ENKAI,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ENSRI,2022-03-22,2026-05-08,275,1,1,1,1,ok,
ENTRA,2024-04-04,2026-05-08,129,1,1,1,0,ok,
EPLAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ERBOS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ERCB,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EREGL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ERSU,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ESCAR,2021-07-13,2026-05-08,311,1,1,1,1,ok,
ESCOM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ESEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ETILR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
EUPWR,2023-04-20,2026-05-08,189,1,1,1,1,ok,
EUREN,2022-06-08,2026-05-08,235,1,1,1,1,ok,
EYGYO,2022-12-29,2026-05-08,234,1,1,1,1,ok,
FADE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FENER,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FLAP,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FMIZP,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FONET,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FORMT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FORTE,2023-06-14,2026-05-08,198,1,1,1,1,ok,
FRIGO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FRMPL,2026-01-15,2026-04-10,10,0,0,1,0,ok,
FROTO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
FZLGY,2023-07-28,2026-05-08,168,1,1,1,1,ok,
GARAN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GARFA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GEDIK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GEDZA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GENIL,2021-08-05,2026-05-08,294,1,1,1,1,ok,
GENKM,2026-03-06,2026-05-08,13,0,0,1,0,ok,
GENTS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GEREL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GESAN,2021-08-19,2026-05-08,318,1,1,1,1,ok,
GIPTA,2023-09-14,2026-05-08,161,1,1,1,1,ok,
GLBMD,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GLCVY,2021-10-21,2026-05-08,269,1,1,1,1,ok,
GLRMK,2025-01-17,2026-05-08,86,0,1,1,0,ok,
GLRYH,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GLYHO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GMTAS,2021-11-12,2026-05-08,288,1,1,1,1,ok,
GOKNR,2023-03-09,2026-05-08,201,1,1,1,1,ok,
GOLTS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GOODY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GOZDE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GRSEL,2022-03-09,2026-05-08,265,1,1,1,1,ok,
GRTHO,2023-04-26,2026-05-08,191,1,1,1,1,ok,
GSDDE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GSDHO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GSRAY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GUBRF,2021-01-06,2026-05-08,344,1,1,1,1,ok,
GUNDG,2024-08-22,2026-05-08,105,1,1,1,0,ok,
GWIND,2021-04-22,2026-05-08,324,1,1,1,1,ok,
GZNMI,2022-03-08,2026-05-08,271,1,1,1,1,ok,
HALKB,2021-01-06,2026-05-08,344,1,1,1,1,ok,
HATEK,2021-01-06,2026-05-08,325,1,1,1,1,ok,
HATSN,2023-09-22,2026-05-08,173,1,1,1,1,ok,
HDFGS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
HEDEF,2021-10-22,2026-05-08,282,1,1,1,1,ok,
HEKTS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
HKTM,2022-08-18,2026-05-08,258,1,1,1,1,ok,
HLGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
HOROZ,2024-06-07,2026-05-08,121,1,1,1,0,ok,
HRKET,2024-05-23,2026-05-08,122,1,1,1,0,ok,
HTTBT,2022-03-03,2026-05-08,279,1,1,1,1,ok,
HUBVC,2021-01-06,2026-05-08,344,1,1,1,1,ok,
HUNER,2022-02-21,2026-05-08,273,1,1,1,1,ok,
HURGZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ICBCT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ICUGS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IDGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IEYHO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IHAAS,2021-11-03,2026-05-08,267,1,1,1,1,ok,
IHEVA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IHGZT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IHLAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IHLGM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IHYAY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IMASM,2022-04-29,2026-05-08,225,1,1,1,1,ok,
INDES,2021-01-06,2026-05-08,344,1,1,1,1,ok,
INFO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
INGRM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
INTEM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
INVEO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
INVES,2022-03-01,2026-05-08,286,1,1,1,1,ok,
ISATR,2021-01-25,2025-09-26,24,1,1,0,1,ok,
ISBTR,2021-01-06,2026-05-08,363,1,1,1,1,ok,
ISCTR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISDMR,2021-01-06,2026-05-08,334,1,1,1,1,ok,
ISFIN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISGSY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISKPL,2021-01-28,2026-05-08,353,1,1,1,1,ok,
ISMEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
