symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
A1CAP,2023-06-15,2026-05-08,202,True,True,True
A1YEN,2021-07-16,2026-05-08,326,True,True,True
ACSEL,2021-01-06,2026-05-08,344,True,True,True
ADEL,2021-01-06,2026-05-08,344,True,True,True
ADESE,2021-01-06,2026-05-08,344,True,True,True
ADGYO,2023-09-20,2026-05-08,182,True,True,True
AEFES,2021-01-06,2026-05-08,344,True,True,True
AFYON,2021-01-06,2026-05-08,344,True,True,True
AGESA,2021-01-06,2026-05-08,344,True,True,True
AGHOL,2021-01-06,2026-05-08,344,True,True,True
AGROT,2023-11-23,2026-05-08,305,True,True,True
AGYO,2021-01-06,2026-05-08,344,True,True,True
AHGAZ,2022-12-22,2026-05-08,238,True,True,True
AHSGY,2024-08-29,2026-05-08,118,True,True,True
AKBNK,2021-01-06,2026-05-08,344,True,True,True
AKCNS,2021-01-06,2026-05-08,344,True,True,True
AKENR,2021-01-06,2026-05-08,344,True,True,True
AKFGY,2021-01-06,2026-05-08,344,True,True,True
AKFIS,2025-01-23,2026-05-08,70,False,True,True
AKFYE,2023-03-16,2026-05-08,188,True,True,True
AKGRT,2021-01-06,2026-05-08,344,True,True,True
AKMGY,2021-01-06,2026-05-08,344,True,True,True
AKSA,2021-01-06,2026-05-08,344,True,True,True
AKSEN,2021-01-06,2026-05-08,344,True,True,True
AKSGY,2021-01-06,2026-05-08,344,True,True,True
AKSUE,2021-01-06,2026-05-08,344,True,True,True
AKYHO,2021-01-06,2026-05-08,344,True,True,True
ALARK,2021-01-06,2026-05-08,344,True,True,True
ALBRK,2021-01-06,2026-05-08,344,True,True,True
ALCAR,2021-01-06,2026-05-08,344,True,True,True
ALCTL,2021-01-06,2026-05-08,338,True,True,True
ALFAS,2022-11-16,2026-05-08,227,True,True,True
ALGYO,2021-01-06,2026-05-08,344,True,True,True
ALKA,2021-01-06,2026-05-08,344,True,True,True
ALKIM,2021-01-06,2026-05-08,344,True,True,True
ALKLC,2024-06-04,2026-05-08,124,True,True,True
ALTNY,2024-05-16,2026-05-08,58,True,True,True
ALVES,2024-02-29,2026-05-08,136,True,True,True
ANELE,2021-01-06,2026-05-08,344,True,True,True
ANGEN,2021-10-21,2026-05-08,269,True,True,True
ANHYT,2021-01-06,2026-05-08,344,True,True,True
ANSGR,2021-01-06,2026-05-08,344,True,True,True
ARASE,2021-11-11,2026-05-08,289,True,True,True
ARCLK,2021-01-06,2026-05-08,344,True,True,True
ARDYZ,2021-01-06,2026-05-08,344,True,True,True
ARENA,2021-01-06,2026-05-08,344,True,True,True
ARMGD,2025-01-03,2026-05-08,82,False,True,True
ARSAN,2021-01-06,2026-05-08,336,True,True,True
ARTMS,2024-03-04,2026-05-08,142,True,True,True
ARZUM,2021-01-06,2026-05-08,344,True,True,True
ASELS,2021-01-06,2026-05-08,344,True,True,True
ASGYO,2023-08-03,2026-05-08,163,True,True,True
ASTOR,2023-01-18,2026-05-08,230,True,True,True
ASUZU,2021-01-06,2026-05-08,344,True,True,True
ATAGY,2021-01-06,2026-05-08,344,True,True,True
ATAKP,2023-07-27,2026-05-08,186,True,True,True
ATATP,2021-06-04,2026-05-08,326,True,True,True
AVGYO,2021-01-06,2026-05-08,344,True,True,True
AVHOL,2021-01-06,2026-05-08,344,True,True,True
AVOD,2021-01-06,2026-05-08,344,True,True,True
AVPGY,2023-12-21,2026-05-08,293,True,True,True
AVTUR,2021-01-06,2026-05-08,344,True,True,True
AYCES,2021-01-06,2026-05-08,344,True,True,True
AYDEM,2021-04-29,2026-05-08,308,True,True,True
AYEN,2021-01-06,2026-05-08,344,True,True,True
AYGAZ,2021-01-06,2026-05-08,344,True,True,True
AZTEK,2022-08-17,2026-05-08,248,True,True,True
BAGFS,2021-01-06,2026-05-08,351,True,True,True
BAHKM,2024-08-13,2026-05-08,111,True,True,True
BAKAB,2021-01-06,2026-05-08,344,True,True,True
BALSU,2025-02-20,2026-05-08,90,False,True,True
BANVT,2021-01-06,2026-05-08,344,True,True,True
BARMA,2022-08-10,2026-05-08,222,True,True,True
BASGZ,2021-06-11,2026-05-08,293,True,True,True
BAYRK,2021-01-06,2026-05-08,344,True,True,True
BEGYO,2023-12-08,2026-05-08,149,True,True,True
BERA,2021-01-06,2026-05-08,344,True,True,True
BESLR,2021-01-06,2026-05-08,344,True,True,True
BEYAZ,2021-01-06,2026-05-08,344,True,True,True
BFREN,2021-01-06,2026-05-08,344,True,True,True
BIENY,2023-05-18,2026-05-08,172,True,True,True
BIGCH,2023-05-10,2026-05-08,186,True,True,True
BIGEN,2025-02-05,2026-05-08,78,False,True,True
BIGTK,2021-01-06,2026-05-08,344,True,True,True
BIMAS,2021-01-06,2026-05-08,344,True,True,True
BINBN,2024-10-09,2026-05-08,113,True,True,True
BINHO,2023-11-20,2026-05-08,166,True,True,True
BIOEN,2021-04-28,2026-05-08,282,True,True,True
BIZIM,2021-01-06,2026-05-08,344,True,True,True
BJKAS,2021-01-06,2026-05-08,344,True,True,True
BLCYT,2021-01-06,2026-05-08,338,True,True,True
BLUME,2021-01-06,2026-05-08,344,True,True,True
BMSCH,2021-06-08,2026-05-08,319,True,True,True
BMSTL,2022-04-27,2026-05-08,252,True,True,True
BNTAS,2021-01-06,2026-05-08,344,True,True,True
BOBET,2021-06-03,2026-05-08,315,True,True,True
BORLS,2023-10-19,2026-05-08,155,True,True,True
BORSK,2024-02-15,2026-05-08,149,True,True,True
BOSSA,2021-01-06,2026-05-08,344,True,True,True
BRISA,2021-01-06,2026-05-08,344,True,True,True
BRKSN,2021-01-06,2026-05-08,344,True,True,True
BRKVY,2022-12-15,2026-05-08,232,True,True,True
BRLSM,2021-08-20,2026-05-08,282,True,True,True
BRSAN,2021-01-06,2026-05-08,344,True,True,True
BRYAT,2021-01-06,2026-05-08,344,True,True,True
BSOKE,2021-01-06,2026-05-08,344,True,True,True
BTCIM,2021-01-06,2026-05-08,344,True,True,True
BUCIM,2021-01-06,2026-05-08,344,True,True,True
BULGS,2025-02-21,2026-05-08,72,False,True,True
BURCE,2021-01-06,2026-05-08,344,True,True,True
BURVA,2021-01-06,2026-05-08,344,True,True,True
BVSAN,2023-02-06,2026-05-08,226,True,True,True
BYDNR,2023-08-21,2026-05-08,204,True,True,True
CANTE,2021-04-30,2026-05-08,309,True,True,True
CATES,2023-12-07,2026-05-08,173,True,True,True
CCOLA,2021-01-06,2026-05-08,344,True,True,True
CELHA,2021-01-06,2026-05-08,344,True,True,True
CEMAS,2021-01-06,2026-05-08,344,True,True,True
CEMTS,2021-01-06,2026-05-08,344,True,True,True
CEMZY,2024-09-09,2026-05-08,111,True,True,True
CEOEM,2021-01-06,2026-05-08,344,True,True,True
CGCAM,2024-12-17,2026-05-08,93,True,True,True
CIMSA,2021-01-06,2026-05-08,344,True,True,True
CLEBI,2021-01-06,2026-05-08,344,True,True,True
CMBTN,2021-01-06,2026-05-08,344,True,True,True
CONSE,2022-04-20,2026-05-08,247,True,True,True
COSMO,2021-01-06,2026-05-08,344,True,True,True
CRDFA,2021-01-06,2026-05-08,344,True,True,True
CRFSA,2021-01-06,2026-05-08,344,True,True,True
CUSAN,2021-01-06,2026-05-08,344,True,True,True
CVKMD,2023-04-13,2026-05-08,188,True,True,True
CWENE,2023-05-05,2026-05-08,181,True,True,True
DAGI,2021-01-06,2026-05-08,344,True,True,True
DAPGM,2022-02-24,2026-05-08,288,True,True,True
DARDL,2021-01-06,2026-05-08,344,True,True,True
DCTTR,2024-07-31,2026-05-08,105,True,True,True
DENGE,2021-01-06,2026-05-08,344,True,True,True
DERHL,2021-01-06,2026-05-08,344,True,True,True
DERIM,2021-01-06,2026-05-08,344,True,True,True
DESA,2021-01-06,2026-05-08,344,True,True,True
DESPC,2021-01-06,2026-05-08,344,True,True,True
DEVA,2021-01-06,2026-05-08,344,True,True,True
DGATE,2021-01-06,2026-05-08,344,True,True,True
DGGYO,2021-01-06,2026-05-08,344,True,True,True
DGNMO,2021-01-06,2026-05-08,698,True,True,True
DITAS,2021-01-06,2026-05-08,344,True,True,True
DMRGD,2023-09-29,2026-05-08,158,True,True,True
DMSAS,2021-01-06,2026-05-08,344,True,True,True
DNISI,2021-01-06,2026-05-08,344,True,True,True
DOAS,2021-01-06,2026-05-08,344,True,True,True
DOCO,2021-01-06,2026-05-08,344,True,True,True
DOFER,2023-10-16,2026-05-08,174,True,True,True
DOFRB,2025-09-11,2026-05-08,81,False,True,True
DOGUB,2021-01-06,2026-05-08,344,True,True,True
DOHOL,2021-01-06,2026-05-08,344,True,True,True
DOKTA,2021-01-06,2026-05-08,344,True,True,True
DSTKF,2025-02-06,2026-05-08,153,False,True,True
DUNYH,2021-01-06,2026-05-08,344,True,True,True
DURDO,2021-01-06,2026-05-08,344,True,True,True
DURKN,2024-09-17,2026-05-08,115,True,True,True
DYOBY,2021-01-06,2026-05-08,344,True,True,True
DZGYO,2021-01-06,2026-05-08,344,True,True,True
EBEBK,2023-09-07,2026-05-08,184,True,True,True
ECILC,2021-01-06,2026-05-08,344,True,True,True
ECOGR,2025-11-03,2026-05-08,51,False,True,True
ECZYT,2021-01-06,2026-05-08,344,True,True,True
EDATA,2021-07-05,2026-05-08,316,True,True,True
EDIP,2021-01-06,2026-05-08,344,True,True,True
EFOR,2024-07-05,2026-05-08,112,True,True,True
EGEEN,2021-01-06,2026-05-08,344,True,True,True
EGEGY,2025-01-14,2026-05-08,85,False,True,True
EGEPO,2021-09-01,2026-05-08,276,True,True,True
EGGUB,2021-01-06,2026-05-08,698,True,True,True
EGPRO,2021-01-06,2026-05-08,344,True,True,True
EGSER,2021-01-06,2026-05-08,344,True,True,True
EKGYO,2021-01-06,2026-05-08,344,True,True,True
EKOS,2023-11-21,2026-05-08,166,True,True,True
EKSUN,2023-03-24,2026-05-08,210,True,True,True
ELITE,2021-11-15,2026-05-08,296,True,True,True
EMKEL,2021-01-06,2026-05-08,344,True,True,True
ENDAE,2025-02-13,2026-05-08,141,False,True,True
ENERY,2023-08-23,2026-05-08,193,True,True,True
ENJSA,2021-01-06,2026-05-08,344,True,True,True
ENKAI,2021-01-06,2026-05-08,344,True,True,True
ENSRI,2022-03-22,2026-05-08,275,True,True,True
ENTRA,2024-04-04,2026-05-08,129,True,True,True
EPLAS,2021-01-06,2026-05-08,344,True,True,True
ERBOS,2021-01-06,2026-05-08,344,True,True,True
ERCB,2021-01-06,2026-05-08,344,True,True,True
EREGL,2021-01-06,2026-05-08,344,True,True,True
ERSU,2021-01-06,2026-05-08,344,True,True,True
ESCAR,2021-07-13,2026-05-08,311,True,True,True
ESCOM,2021-01-06,2026-05-08,344,True,True,True
ESEN,2021-01-06,2026-05-08,344,True,True,True
ETILR,2021-01-06,2026-05-08,344,True,True,True
EUPWR,2023-04-20,2026-05-08,189,True,True,True
EUREN,2022-06-08,2026-05-08,235,True,True,True
EYGYO,2022-12-29,2026-05-08,234,True,True,True
FADE,2021-01-06,2026-05-08,344,True,True,True
FENER,2021-01-06,2026-05-08,344,True,True,True
FLAP,2021-01-06,2026-05-08,344,True,True,True
FMIZP,2021-01-06,2026-05-08,344,True,True,True
FONET,2021-01-06,2026-05-08,344,True,True,True
FORMT,2021-01-06,2026-05-08,344,True,True,True
FORTE,2023-06-14,2026-05-08,198,True,True,True
FRIGO,2021-01-06,2026-05-08,344,True,True,True
FROTO,2021-01-06,2026-05-08,344,True,True,True
FZLGY,2023-07-28,2026-05-08,168,True,True,True
GARAN,2021-01-06,2026-05-08,344,True,True,True
GARFA,2021-01-06,2026-05-08,344,True,True,True
GEDIK,2021-01-06,2026-05-08,344,True,True,True
GEDZA,2021-01-06,2026-05-08,344,True,True,True
GENIL,2021-08-05,2026-05-08,294,True,True,True
GENTS,2021-01-06,2026-05-08,344,True,True,True
GEREL,2021-01-06,2026-05-08,344,True,True,True
GESAN,2021-08-19,2026-05-08,318,True,True,True
GIPTA,2023-09-14,2026-05-08,161,True,True,True
GLBMD,2021-01-06,2026-05-08,344,True,True,True
GLCVY,2021-10-21,2026-05-08,269,True,True,True
GLRMK,2025-01-17,2026-05-08,86,False,True,True
GLRYH,2021-01-06,2026-05-08,344,True,True,True
GLYHO,2021-01-06,2026-05-08,344,True,True,True
GMTAS,2021-11-12,2026-05-08,288,True,True,True
GOKNR,2023-03-09,2026-05-08,201,True,True,True
GOLTS,2021-01-06,2026-05-08,344,True,True,True
GOODY,2021-01-06,2026-05-08,344,True,True,True
GOZDE,2021-01-06,2026-05-08,344,True,True,True
GRSEL,2022-03-09,2026-05-08,265,True,True,True
GRTHO,2023-04-26,2026-05-08,191,True,True,True
GSDDE,2021-01-06,2026-05-08,344,True,True,True
GSDHO,2021-01-06,2026-05-08,344,True,True,True
GSRAY,2021-01-06,2026-05-08,344,True,True,True
GUBRF,2021-01-06,2026-05-08,344,True,True,True
GUNDG,2024-08-22,2026-05-08,105,True,True,True
GWIND,2021-04-22,2026-05-08,324,True,True,True
GZNMI,2022-03-08,2026-05-08,271,True,True,True
HALKB,2021-01-06,2026-05-08,344,True,True,True
HATEK,2021-01-06,2026-05-08,325,True,True,True
HATSN,2023-09-22,2026-05-08,173,True,True,True
HDFGS,2021-01-06,2026-05-08,344,True,True,True
HEDEF,2021-10-22,2026-05-08,282,True,True,True
HEKTS,2021-01-06,2026-05-08,344,True,True,True
HKTM,2022-08-18,2026-05-08,258,True,True,True
HLGYO,2021-01-06,2026-05-08,344,True,True,True
HOROZ,2024-06-07,2026-05-08,121,True,True,True
HRKET,2024-05-23,2026-05-08,122,True,True,True
HTTBT,2022-03-03,2026-05-08,279,True,True,True
HUBVC,2021-01-06,2026-05-08,344,True,True,True
HUNER,2022-02-21,2026-05-08,273,True,True,True
HURGZ,2021-01-06,2026-05-08,344,True,True,True
ICBCT,2021-01-06,2026-05-08,344,True,True,True
ICUGS,2021-01-06,2026-05-08,344,True,True,True
IDGYO,2021-01-06,2026-05-08,344,True,True,True
IEYHO,2021-01-06,2026-05-08,344,True,True,True
IHAAS,2021-11-03,2026-05-08,267,True,True,True
IHEVA,2021-01-06,2026-05-08,344,True,True,True
IHGZT,2021-01-06,2026-05-08,344,True,True,True
IHLAS,2021-01-06,2026-05-08,344,True,True,True
IHLGM,2021-01-06,2026-05-08,344,True,True,True
IHYAY,2021-01-06,2026-05-08,344,True,True,True
IMASM,2022-04-29,2026-05-08,225,True,True,True
INDES,2021-01-06,2026-05-08,344,True,True,True
INFO,2021-01-06,2026-05-08,344,True,True,True
INGRM,2021-01-06,2026-05-08,344,True,True,True
INTEM,2021-01-06,2026-05-08,344,True,True,True
INVEO,2021-01-06,2026-05-08,344,True,True,True
INVES,2022-03-01,2026-05-08,286,True,True,True
ISBTR,2021-01-06,2026-05-08,363,True,True,True
ISCTR,2021-01-06,2026-05-08,344,True,True,True
ISDMR,2021-01-06,2026-05-08,334,True,True,True
ISFIN,2021-01-06,2026-05-08,344,True,True,True
ISGSY,2021-01-06,2026-05-08,344,True,True,True
ISGYO,2021-01-06,2026-05-08,344,True,True,True
ISKPL,2021-01-28,2026-05-08,353,True,True,True
ISMEN,2021-01-06,2026-05-08,344,True,True,True
ISSEN,2021-11-18,2026-05-08,296,True,True,True
